statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
10.694105447502807,0.004762165754609498,0.013167248941493438,2,99,7,5,"AR-1:267, 1, set1, minTK"
9.875797022687948,0.0071696494889687485,0.01862471129938963,2,103,7,5,"Ar-1:269, 1, set1, minCMV"
11.883602566748777,0.0026272928871696613,0.00800704993553791,2,101,7,5,"Ar-1:269, 1, set1, minProm"
4.800211540328746,0.09070835854400934,0.14858363025307053,2,101,7,5,"Ar-1:269, 1, set1, minTK"
7.434549952438829,0.024300096043903947,0.050585386374784456,2,102,7,5,"AR-1:600, 4, set1, minCMV"
6.931385180877442,0.03125135354059374,0.061848070284494405,2,99,7,5,"AR-1:600, 4, set1, minProm"
6.513088716366838,0.03852128404202685,0.07325675339312084,2,95,7,5,"AR-1:600, 4, set1, minTK"
2.313482654269137,0.31450939605023065,0.4059273226449068,2,98,7,5,"Ar-1:602, 4, set1, minCMV"
3.923354338324316,0.14062237552061013,0.21016354540571108,2,96,7,5,"Ar-1:602, 4, set1, minProm"
22.24266972481655,1.4793319527012619e-5,9.03039515063464e-5,2,100,7,5,"Ar-1:602, 4, set1, minTK"
3.3437006795375055,0.187899066664304,0.26704192742084953,2,102,7,5,"AR-1:933, 8, set1, minCMV"
36.80077432572125,1.020500895819763e-8,1.1670197395212597e-7,2,93,7,5,"AR-1:933, 8, set1, minProm"
27.00821278679814,1.3653409321118305e-6,1.0818785373030646e-5,2,98,7,5,"AR-1:933, 8, set1, minTK"
6.148007222751403,0.046235674137884555,0.08541948461493694,2,92,7,5,"Ar-1:935, 8, set1, minCMV"
15.903830902424033,3.519873039952309e-4,0.0014724482519310033,2,91,7,5,"Ar-1:935, 8, set1, minProm"
12.786418320293706,0.0016728790411704953,0.0054567510486773435,2,95,7,5,"Ar-1:935, 8, set1, minTK"
0.15445266921869916,0.9256803164018338,0.9464551993998904,2,102,7,5,"AR-2:1267, 1, set2, minCMV"
15.83690359429238,3.6396538276420266e-4,0.001518418081219408,2,103,7,5,"AR-2:1267, 1, set2, minProm"
10.326885621674592,0.005721966088764319,0.015377940372473385,2,100,7,5,"AR-2:1267, 1, set2, minTK"
3.394265046695182,0.18320811656166966,0.26165510692847027,2,102,7,5,"AR-2:1600, 4, set2, minCMV"
31.382417625258313,1.5324792340008763e-7,1.4590627869766483e-6,2,103,7,5,"AR-2:1600, 4, set2, minProm"
15.555295819062849,4.189965342603218e-4,0.0017176620272981548,2,102,7,5,"AR-2:1600, 4, set2, minTK"
3.051795835732264,0.21742573873317025,0.30011496101604823,2,103,7,5,"AR-2:1933, 8, set2, minCMV"
15.023397368411679,5.466517109504539e-4,0.0021477851292045665,2,103,7,5,"AR-2:1933, 8, set2, minProm"
18.3809033991256,1.0200877697955741e-4,5.015499595127799e-4,2,103,7,5,"AR-2:1933, 8, set2, minTK"
5.205434103551852,0.07407204696614167,0.12534484442520694,2,101,7,5,"AR-2:268, 1, set1, minCMV"
10.889224187679247,0.00431951524926883,0.012151233690224408,2,102,7,5,"AR-2:268, 1, set1, minProm"
20.08482668446777,4.3514630536978455e-5,2.352318187742823e-4,2,100,7,5,"AR-2:268, 1, set1, minTK"
0.346681919853836,0.8408508695120495,0.8799702095558104,2,102,7,5,"AR-2:601, 4, set1, minCMV"
12.190957922769485,0.0022530307675099207,0.007044736223665185,2,95,7,5,"AR-2:601, 4, set1, minProm"
7.318677869112435,0.025749529225195023,0.05295641626655145,2,101,7,5,"AR-2:601, 4, set1, minTK"
5.054480818746015,0.07987915016611451,0.1335523716771329,2,103,7,5,"AR-2:934, 8, set1, minCMV"
12.236987359303384,0.002201770037396702,0.00690555148092602,2,97,7,5,"AR-2:934, 8, set1, minProm"
0.9863422371518027,0.6106867602757013,0.6886205278834158,2,102,7,5,"AR-2:934, 8, set1, minTK"
1.8158357837992298,0.4033631960932675,0.49630402468618623,2,51,7,5,"ARNTL-1:1168, 1, set2, minCMV"
22.184072635065604,1.5233154056326145e-5,9.280436414672506e-5,2,58,7,5,"ARNTL-1:1168, 1, set2, minProm"
15.719307721586574,3.8600746056667383e-4,0.0015984300845178316,2,70,7,5,"ARNTL-1:1168, 1, set2, minTK"
11.657255976014312,0.0029421108236843373,0.00880053705223844,2,67,7,5,"ARNTL-1:1501, 4, set2, minCMV"
21.421404308513956,2.2304945021077006e-5,1.312017886728294e-4,2,59,7,5,"ARNTL-1:1501, 4, set2, minProm"
6.862292696316217,0.03234983533494388,0.06357130841340491,2,66,7,5,"ARNTL-1:1501, 4, set2, minTK"
11.302572768467144,0.003512994805909946,0.010258345745645735,2,29,7,5,"ARNTL-1:169, 1, set1, minCMV"
6.182588681913785,0.04544309746011096,0.08436096176013948,2,35,7,5,"ARNTL-1:169, 1, set1, minProm"
1.7610493563449836,0.4145653412237257,0.5065351692110822,2,36,7,5,"ARNTL-1:169, 1, set1, minTK"
3.388892759898681,0.1837009013835238,0.26210669967384287,2,33,7,5,"ARNTL-1:1834, 8, set2, minCMV"
20.33263730201179,3.8443587497990866e-5,2.1116464295631656e-4,2,37,7,5,"ARNTL-1:1834, 8, set2, minProm"
7.334776385732084,0.025543096542670535,0.05260233261855793,2,34,7,5,"ARNTL-1:1834, 8, set2, minTK"
8.395792019806322,0.015027160579911734,0.03405644668669415,2,39,7,5,"ARNTL-1:502, 4, set1, minCMV"
13.64047264334863,0.001091462955446051,0.0038279120556220436,2,40,7,5,"ARNTL-1:502, 4, set1, minProm"
16.968032930459003,2.0674664216557107e-4,9.32866369977055e-4,2,40,7,5,"ARNTL-1:502, 4, set1, minTK"
7.859969344771116,0.019643973646011923,0.04258158918466615,2,26,7,5,"ARNTL-1:835, 8, set1, minCMV"
5.5815767167096055,0.061372811069748734,0.1082396418091117,2,26,7,5,"ARNTL-1:835, 8, set1, minProm"
7.094136150297572,0.02880898172096626,0.058068732545527794,2,17,7,5,"ARNTL-1:835, 8, set1, minTK"
9.52872958318585,0.00852830377247784,0.021596830295582025,2,70,7,5,"Ascl2-1:1169, 1, set2, minCMV"
8.428431579663993,0.014783910915592408,0.03362518404913073,2,46,7,5,"Ascl2-1:1169, 1, set2, minProm"
2.3440457732804134,0.3097397387201418,0.40090399095966806,2,45,7,5,"Ascl2-1:1169, 1, set2, minTK"
5.692430685597856,0.05806365659382579,0.10332335993702817,2,43,7,5,"Ascl2-1:1502, 4, set2, minCMV"
7.357211651693433,0.0252581645794274,0.052102918603380476,2,52,7,5,"Ascl2-1:1502, 4, set2, minProm"
0.2776199929867289,0.8703933905444218,0.9028861167792728,2,54,7,5,"Ascl2-1:1502, 4, set2, minTK"
2.4807369343832306,0.2892776089911248,0.379017238492532,2,18,7,5,"Ascl2-1:170, 1, set1, minCMV"
1.898645367852282,0.3870030580962274,0.4809928718415164,2,18,7,5,"Ascl2-1:170, 1, set1, minProm"
18.281525086854572,1.0720554944814558e-4,5.208459487033719e-4,2,25,7,5,"Ascl2-1:170, 1, set1, minTK"
2.7810786410868786,0.24894100942035527,0.33576690947735593,2,46,7,5,"Ascl2-1:1835, 8, set2, minCMV"
4.3719827345189515,0.11236628216553113,0.17606008397949652,2,32,7,5,"Ascl2-1:1835, 8, set2, minProm"
3.286652587075878,0.19333587966065788,0.27343980584894056,2,53,7,5,"Ascl2-1:1835, 8, set2, minTK"
5.399459678452558,0.06722367148584985,0.11612392871859463,2,25,7,5,"Ascl2-1:503, 4, set1, minCMV"
15.214908315931098,4.967348585788248e-4,0.0019795254812021825,2,33,7,5,"Ascl2-1:503, 4, set1, minProm"
2.608208205368328,0.27141558665025906,0.3601122091652925,2,20,7,5,"Ascl2-1:503, 4, set1, minTK"
14.524453502269807,7.015441308497901e-4,0.0026560927913369674,2,29,7,5,"Ascl2-1:836, 8, set1, minCMV"
1.7299570844074879,0.42106058756268516,0.5130422754409621,2,21,7,5,"Ascl2-1:836, 8, set1, minProm"
1.9328770319527848,0.38043554332046936,0.47455914514137765,2,28,7,5,"Ascl2-1:836, 8, set1, minTK"
104.39016963711856,2.1476459177627158e-23,7.944996133120986e-22,2,63,7,5,"ATF4-1:1185, 1, set2, minCMV"
87.18888736904273,1.167276295516583e-19,3.496704258910896e-18,2,65,7,5,"ATF4-1:1185, 1, set2, minProm"
15.947586800049066,3.4437017121881813e-4,0.0014455073284038017,2,74,7,5,"ATF4-1:1185, 1, set2, minTK"
179.3283485062966,1.146420378688012e-39,8.000190392639864e-38,2,103,7,5,"Atf4-1:1187, 1, set2, minCMV"
91.98672837323284,1.0600728935551901e-20,3.4443955763610703e-19,2,73,7,5,"Atf4-1:1187, 1, set2, minProm"
104.79727844858098,1.7521049865917214e-23,6.52101619555137e-22,2,87,7,5,"Atf4-1:1187, 1, set2, minTK"
199.84625441976868,4.0173275052061843e-44,3.162872847368099e-42,2,64,7,5,"ATF4-1:1518, 4, set2, minCMV"
23.58360646397614,7.5663238299546415e-6,4.9483274376732116e-5,2,60,7,5,"ATF4-1:1518, 4, set2, minProm"
26.407242097458038,1.843912198372366e-6,1.4083911455478482e-5,2,60,7,5,"ATF4-1:1518, 4, set2, minTK"
185.19809257298766,6.091793431270106e-41,4.401141583697614e-39,2,86,7,5,"Atf4-1:1520, 4, set2, minCMV"
125.27797267389633,6.255094594869108e-28,2.783517094716753e-26,2,92,7,5,"Atf4-1:1520, 4, set2, minProm"
128.78287158312924,1.0843132228726224e-28,5.122128847431364e-27,2,99,7,5,"Atf4-1:1520, 4, set2, minTK"
154.64304754291516,2.6283844774997496e-34,1.4945286181783298e-32,2,62,7,5,"ATF4-1:1851, 8, set2, minCMV"
39.06747190352189,3.2855362649895564e-9,4.117648612918544e-8,2,45,7,5,"ATF4-1:1851, 8, set2, minProm"
20.720239865714575,3.167065762032997e-5,1.784307416939875e-4,2,61,7,5,"ATF4-1:1851, 8, set2, minTK"
107.52807192076489,4.472762700332874e-24,1.738432641945834e-22,2,101,7,5,"Atf4-1:1853, 8, set2, minCMV"
78.28616035088953,1.0008667808916355e-17,2.707631234121381e-16,2,75,7,5,"Atf4-1:1853, 8, set2, minProm"
122.38417969925013,2.658355400811824e-27,1.1416056305164622e-25,2,103,7,5,"Atf4-1:1853, 8, set2, minTK"
130.20408444040754,5.327731173939846e-29,2.5362478402453174e-27,2,34,7,5,"ATF4-1:186, 1, set1, minCMV"
18.19434988207263,1.1198171700331102e-4,5.43190935321748e-4,2,28,7,5,"ATF4-1:186, 1, set1, minProm"
6.9355431193253025,0.031186450427540507,0.061739520333825355,2,27,7,5,"ATF4-1:186, 1, set1, minTK"
98.3446232180213,4.41302518316944e-22,1.5224936881934568e-20,2,78,7,5,"Atf4-1:188, 1, set1, minCMV"
189.80114605784274,6.09824409722999e-42,4.56698987818163e-40,2,72,7,5,"Atf4-1:188, 1, set1, minProm"
32.52782997346549,8.643138396705786e-8,8.574719369009731e-7,2,69,7,5,"Atf4-1:188, 1, set1, minTK"
124.56180365202545,8.94845398107212e-28,3.897337297713751e-26,2,31,7,5,"ATF4-1:519, 4, set1, minCMV"
23.72109933294803,7.063642769757242e-6,4.679377588897435e-5,2,22,7,5,"ATF4-1:519, 4, set1, minProm"
20.597989206470402,3.366692679505437e-5,1.8812429249174604e-4,2,26,7,5,"ATF4-1:519, 4, set1, minTK"
66.2738550410595,4.062704457465419e-15,8.847187260033737e-14,2,72,7,5,"Atf4-1:521, 4, set1, minCMV"
67.09827700483402,2.69026013256407e-15,5.964219304720561e-14,2,77,7,5,"Atf4-1:521, 4, set1, minProm"
120.18550366173167,7.980856048635914e-27,3.267362466311543e-25,2,79,7,5,"Atf4-1:521, 4, set1, minTK"
74.60863149422107,6.294214220854582e-17,1.6240659466499155e-15,2,28,7,5,"ATF4-1:852, 8, set1, minCMV"
8.430880950033497,0.014765816361249299,0.03360892449015269,2,28,7,5,"ATF4-1:852, 8, set1, minProm"
39.25121434953826,2.99714048419923e-9,3.810650044196163e-8,2,28,7,5,"ATF4-1:852, 8, set1, minTK"
35.486248396748124,1.969060539649738e-8,2.1564220097377941e-7,2,63,7,5,"Atf4-1:854, 8, set1, minCMV"
73.06455584820424,1.3621761943702084e-16,3.4004569144827035e-15,2,77,7,5,"Atf4-1:854, 8, set1, minProm"
54.47203994719757,1.484385886578122e-12,2.6345704420451582e-11,2,69,7,5,"Atf4-1:854, 8, set1, minTK"
6.139654575354143,0.04642917305532057,0.08569929417875673,2,74,7,5,"ATF7-1:1186, 1, set2, minCMV"
4.792142603433149,0.09107505777535124,0.14898559664316247,2,54,7,5,"ATF7-1:1186, 1, set2, minProm"
0.4330578060557855,0.8053092587103299,0.8513348524255699,2,54,7,5,"ATF7-1:1186, 1, set2, minTK"
4.7100027535880145,0.09489337588590192,0.1540011155695887,2,71,7,5,"ATF7-1:1519, 4, set2, minCMV"
5.279037958944173,0.07139560404907654,0.12172137825246503,2,66,7,5,"ATF7-1:1519, 4, set2, minProm"
3.378650774695643,0.18464404519551575,0.26308563376929517,2,45,7,5,"ATF7-1:1519, 4, set2, minTK"
4.127352299826271,0.12698629015157517,0.19393752992310945,2,52,7,5,"ATF7-1:1852, 8, set2, minCMV"
8.20281137873826,0.01654939573395503,0.03684910776004997,2,47,7,5,"ATF7-1:1852, 8, set2, minProm"
5.737367056822222,0.05677361825975971,0.10132135708607509,2,59,7,5,"ATF7-1:1852, 8, set2, minTK"
6.443393261186202,0.0398873267603749,0.07550803749551858,2,40,7,5,"ATF7-1:187, 1, set1, minCMV"
1.3334129656168443,0.5133966771507621,0.5974548028013701,2,37,7,5,"ATF7-1:187, 1, set1, minProm"
7.8233414921037365,0.020007046428537952,0.04324648789780062,2,54,7,5,"ATF7-1:187, 1, set1, minTK"
17.05807573839229,1.976450388546422e-4,8.957477369788617e-4,2,46,7,5,"ATF7-1:520, 4, set1, minCMV"
5.248831296098615,0.07248209971789213,0.1231975019007959,2,45,7,5,"ATF7-1:520, 4, set1, minProm"
2.1710662821651567,0.3377216845847456,0.4293889989720337,2,44,7,5,"ATF7-1:520, 4, set1, minTK"
9.167522972854385,0.010216395099433152,0.024985616210919548,2,42,7,5,"ATF7-1:853, 8, set1, minCMV"
10.315468742154508,0.005754722993948915,0.015432206945781785,2,36,7,5,"ATF7-1:853, 8, set1, minProm"
4.5731948992693106,0.10161161295466904,0.1625838757568063,2,36,7,5,"ATF7-1:853, 8, set1, minTK"
6.074532981177526,0.04796582549067528,0.08803087266872661,2,53,7,5,"Atoh1-1:1170, 1, set2, minCMV"
2.813759213024241,0.24490629609549425,0.33207541716105765,2,33,7,5,"Atoh1-1:1170, 1, set2, minProm"
8.133083713713404,0.01713654679140942,0.03793638566908625,2,35,7,5,"Atoh1-1:1170, 1, set2, minTK"
0.7445214787724126,0.689174524152995,0.7541376965116788,2,43,7,5,"Atoh1-1:1503, 4, set2, minCMV"
14.170592618724186,8.373266428006266e-4,0.0030675152114460554,2,40,7,5,"Atoh1-1:1503, 4, set2, minProm"
8.637453962437121,0.01331682532530019,0.031035531052246098,2,37,7,5,"Atoh1-1:1503, 4, set2, minTK"
1.5011038359962185,0.47210591707022703,0.5598386544258416,2,42,7,5,"Atoh1-1:171, 1, set1, minCMV"
10.400915905559486,0.005514038673130369,0.014897365372500481,2,36,7,5,"Atoh1-1:171, 1, set1, minProm"
3.8406724255061135,0.14655767928521976,0.21744641422820354,2,22,7,5,"Atoh1-1:171, 1, set1, minTK"
0.7396282523475293,0.6908627320031593,0.7553607104112099,2,34,7,5,"Atoh1-1:1836, 8, set2, minCMV"
23.856837637024,6.600145798381669e-6,4.4151955716625087e-5,2,43,7,5,"Atoh1-1:1836, 8, set2, minProm"
3.3233027234791734,0.18982525097600889,0.26918322047972887,2,46,7,5,"Atoh1-1:1836, 8, set2, minTK"
4.4105871673991714,0.11021816229824306,0.1733289973555725,2,37,7,5,"Atoh1-1:504, 4, set1, minCMV"
8.212700194388844,0.01646777073212472,0.036693969544984724,2,35,7,5,"Atoh1-1:504, 4, set1, minProm"
5.449108784031068,0.06557541713791287,0.11382098265797709,2,25,7,5,"Atoh1-1:504, 4, set1, minTK"
1.6640567964216189,0.43516570116356484,0.5264681975660859,2,30,7,5,"Atoh1-1:837, 8, set1, minCMV"
4.333632596006737,0.11454170368212585,0.17902789572714048,2,31,7,5,"Atoh1-1:837, 8, set1, minProm"
0.8287951275841579,0.6607382134521408,0.7310979042900174,2,19,7,5,"Atoh1-1:837, 8, set1, minTK"
14.102111434376184,8.664937019720701e-4,0.0031616980533633286,2,88,7,5,"Barhl1-1:1228, 1, set2, minCMV"
0.8814322979819735,0.6435753601638853,0.71662670657596,2,56,7,5,"Barhl1-1:1228, 1, set2, minProm"
0.49266715662270144,0.7816614361292404,0.8326423034292567,2,72,7,5,"Barhl1-1:1228, 1, set2, minTK"
30.16702634164085,2.8139311181912614e-7,2.5449706917249686e-6,2,88,7,5,"Barhl1-1:1561, 4, set2, minCMV"
11.8197061882056,0.002712585352902459,0.008238371242420377,2,66,7,5,"Barhl1-1:1561, 4, set2, minProm"
8.241913552094957,0.016228979512538162,0.036280365193482655,2,82,7,5,"Barhl1-1:1561, 4, set2, minTK"
10.892966537493521,0.004311440237958754,0.012139180697905452,2,86,7,5,"Barhl1-1:1894, 8, set2, minCMV"
18.81932591717714,8.192855601466193e-5,4.147759789662316e-4,2,74,7,5,"Barhl1-1:1894, 8, set2, minProm"
6.660560413978146,0.035783076994488426,0.06892844285544336,2,84,7,5,"Barhl1-1:1894, 8, set2, minTK"
22.915114262486895,1.0569298458966856e-5,6.712105670787534e-5,2,88,7,5,"Barhl1-1:229, 1, set1, minCMV"
6.853312040573201,0.03249542332647046,0.06377577329749284,2,55,7,5,"Barhl1-1:229, 1, set1, minProm"
1.7589247204327876,0.41500597543506235,0.5069726865221241,2,77,7,5,"Barhl1-1:229, 1, set1, minTK"
6.239183498772036,0.04417519929111865,0.08235576771304177,2,79,7,5,"Barhl1-1:562, 4, set1, minCMV"
9.668495690996679,0.007952667710789467,0.02030658312347531,2,77,7,5,"Barhl1-1:562, 4, set1, minProm"
6.039326067601451,0.04881766549399253,0.08922347472200996,2,87,7,5,"Barhl1-1:562, 4, set1, minTK"
0.7570221672822299,0.6848803800446691,0.7506425868024832,2,74,7,5,"Barhl1-1:895, 8, set1, minCMV"
4.674262665275819,0.09660436691385066,0.15619995187413294,2,70,7,5,"Barhl1-1:895, 8, set1, minProm"
6.631805741903463,0.03630125842518613,0.0697734046914141,2,82,7,5,"Barhl1-1:895, 8, set1, minTK"
0.2728644612489006,0.8724654446945621,0.9048826711483374,2,53,7,5,"BARHL2-1:1225, 1, set2, minCMV"
5.132398070226827,0.0768270079130825,0.12932967532736833,2,54,7,5,"BARHL2-1:1225, 1, set2, minProm"
2.929279121228319,0.23116129609889097,0.31601992861604844,2,67,7,5,"BARHL2-1:1225, 1, set2, minTK"
6.057759822575008,0.048369786246657984,0.08858898220719555,2,83,7,5,"BARHL2-1:1558, 4, set2, minCMV"
4.4703020976435255,0.10697597003845348,0.1692706601407222,2,50,7,5,"BARHL2-1:1558, 4, set2, minProm"
0.530602275781348,0.7669749499775392,0.8215582012579922,2,59,7,5,"BARHL2-1:1558, 4, set2, minTK"
4.833510334620769,0.08921062186242348,0.14640364213178583,2,74,7,5,"BARHL2-1:1891, 8, set2, minCMV"
3.5055385619052686,0.1732933802930993,0.2501632929901088,2,71,7,5,"BARHL2-1:1891, 8, set2, minProm"
11.963698700562418,0.002524153928364968,0.00775817280985449,2,63,7,5,"BARHL2-1:1891, 8, set2, minTK"
3.1062817468500725,0.21158237563325355,0.2941651276350034,2,49,7,5,"BARHL2-1:226, 1, set1, minCMV"
5.8758964721273514,0.05297430808554676,0.09546710707093584,2,33,7,5,"BARHL2-1:226, 1, set1, minProm"
4.694780969625754,0.09561835448683487,0.1549320092094071,2,47,7,5,"BARHL2-1:226, 1, set1, minTK"
0.8864198296632821,0.641972433407516,0.7154905106271425,2,43,7,5,"BARHL2-1:559, 4, set1, minCMV"
2.705662389356803,0.25850733901101064,0.34616083054221897,2,61,7,5,"BARHL2-1:559, 4, set1, minProm"
0.6483300562204022,0.723130895607197,0.7830623928625986,2,52,7,5,"BARHL2-1:559, 4, set1, minTK"
0.19210499025984973,0.9084163273838733,0.9328736900442083,2,68,7,5,"BARHL2-1:892, 8, set1, minCMV"
5.211062554697946,0.073863884562686,0.1250615150536131,2,57,7,5,"BARHL2-1:892, 8, set1, minProm"
10.293732148641993,0.005817608139410857,0.015519547841229338,2,50,7,5,"BARHL2-1:892, 8, set1, minTK"
6.14391924826441,0.04633027591549389,0.08555927098749795,2,52,7,5,"BARHL2-2:1226, 1, set2, minCMV"
20.860048575756082,2.953234992347232e-5,1.6839197853300234e-4,2,55,7,5,"BARHL2-2:1226, 1, set2, minProm"
14.990184255509575,5.558055096177301e-4,0.002175745649514197,2,63,7,5,"BARHL2-2:1226, 1, set2, minTK"
8.122667240099418,0.017226030809855932,0.038093285993275224,2,64,7,5,"BARHL2-2:1559, 4, set2, minCMV"
2.3309499635288375,0.31177453963677554,0.4029904121047019,2,57,7,5,"BARHL2-2:1559, 4, set2, minProm"
6.058952700027021,0.04834094523477501,0.08856257299724145,2,62,7,5,"BARHL2-2:1559, 4, set2, minTK"
2.075097309969806,0.3543221841706655,0.4472543747157363,2,67,7,5,"BARHL2-2:1892, 8, set2, minCMV"
